MWH_ID,MWH_CITY,lat1,long1,CFA_ID,CFA_CITY,lat2,long2,CFA_Total_Weight,Truck_Capacity,Number_Trucks,Total_Freight,Transit_Days,Avg_Revenue,Inv_Carrying_Cost,Logistics_Cost
7050,Ghaziabad,28.711241,77.4445372,7001,Ahmedabad,23.0216238,72.5797068,7033312,15000,468.8874,1.84E+07,3,5126795,1.54E+07,39260
7050,Ghaziabad,28.711241,77.4445372,7013,Jaipur,26.9154576,75.8189817,4518661,15000,301.244,9480752,2,3482741,6965482,31472
7050,Ghaziabad,28.711241,77.4445372,7016,Lucknow,26.8381,80.9346001,7441166,15000,496.0777,2.12E+07,2,5916833,1.18E+07,42711
7050,Ghaziabad,28.711241,77.4445372,7025,Zirakpur,30.6557257,76.8200648,8965925,15000,597.7283,1.68E+07,1,6894977,6894977,28099
7050,Ghaziabad,28.711241,77.4445372,7007,Delhi,28.6517178,77.2219388,8738503,15000,582.5669,1.46E+07,1,6654191,6654191,25000
7050,Ghaziabad,28.711241,77.4445372,7009,Ghaziabad,28.711241,77.4445372,3858596,15000,257.2397,1397326,1,3222137,3222137,5432
7050,Ghaziabad,28.711241,77.4445372,7012,Indore,22.7203616,75.8681996,3690054,15000,246.0036,1.16E+07,3,2811472,8434417,47312
7050,Ghaziabad,28.711241,77.4445372,7027,Dehradun,30.3255646,78.0436813,1304641,15000,86.97608,2435330,1,1060816,1060816,28000
7051,Hyderabad,17.360589,78.4740613,7030,Vijayawada,16.5087586,80.6185102,3577550,15000,238.5033,6288617,1,2345160,2345160,26367
7051,Hyderabad,17.360589,78.4740613,7011,Hyderabad,17.360589,78.4740613,6026706,15000,401.7804,6026706,1,3987314,3987314,15000
7051,Hyderabad,17.360589,78.4740613,7026,Jabalpur,23.1608938,79.9497702,1576925,15000,105.1283,5074649,4,1238519,4954076,48271
7051,Hyderabad,17.360589,78.4740613,7018,Nagpur,21.1498134,79.0820556,2766367,15000,184.4245,6028837,2,2032365,4064730,32690
7051,Hyderabad,17.360589,78.4740613,7021,Pune,18.521428,73.8544541,3400484,15000,226.6989,7027667,2,2566981,5133963,31000
7051,Hyderabad,17.360589,78.4740613,7022,Pune,18.521428,73.8544541,3202476,15000,213.4984,6618451,2,2276010,4552019,31000
7051,Hyderabad,17.360589,78.4740613,7023,Raipur,21.2379469,81.6336833,2135124,15000,142.3416,9073565,3,1601179,4803536,63745
7051,Hyderabad,17.360589,78.4740613,7003,Thane,19.1943294,72.9701779,2779453,15000,185.2969,7041282,3,2246331,6738992,38000
7051,Hyderabad,17.360589,78.4740613,7004,Bhiwandi,19.3625308,73.0784747,4824130,15000,321.6087,1.22E+07,2,3549002,7098003,38000
7052,Bangalore,12.9791198,77.5912997,7017,Madurai,9.9261153,78.1140983,6499933,15000,433.3289,1.72E+07,1,4023765,4023765,39639
7052,Bangalore,12.9791198,77.5912997,7006,Chennai,13.0836939,80.270186,6317141,15000,421.1427,1.24E+07,1,4025745,4025745,29414
7052,Bangalore,12.9791198,77.5912997,7032,Goa,15.3004543,74.0855134,425157.9,16000,26.57237,975976.5,2,326651,653302,36729
7052,Bangalore,12.9791198,77.5912997,7008,Aluva,10.1703982,76.3883945,4012751,15000,267.5168,1.26E+07,3,2992586,8977756,47284
7052,Bangalore,12.9791198,77.5912997,7028,Hubli,15.3518378,75.1379848,1890013,15000,126.0008,2608092,1,1389927,1389927,20699
7052,Bangalore,12.9791198,77.5912997,7029,Bangalore,12.9791198,77.5912997,1.18E+07,7000,1689.037,8911362,1,8033588,8033588,5276
RAN,Ranchi,23.3700354,85.3250132,7010,Guwahati,26.1805978,91.753943,4256597,15000,283.7731,1.14E+07,3,3265202,9795605,40000
RAN,Ranchi,23.3700354,85.3250132,7033,Jalpaiguri,26.6264836,88.734077,1383764,16000,86.48524,4756689,2,1080459,2160917,55000
RAN,Ranchi,23.3700354,85.3250132,7014,Howrah,22.5736296,88.3251045,2943435,15000,196.229,6083099,2,2432588,4865175,31000
RAN,Ranchi,23.3700354,85.3250132,7015,Howrah,22.5736296,88.3251045,2949874,15000,196.6582,6096405,2,1989253,3978506,31000
RAN,Ranchi,23.3700354,85.3250132,7005,Cuttak,20.4686,85.8792,1998249,15000,133.2166,5062230,1,1427114,1427114,38000
RAN,Ranchi,23.3700354,85.3250132,7024,Ranchi,23.3700354,85.3250132,1323457,5000,264.6913,1323457,1,1050287,1050287,5000
RAN,Ranchi,23.3700354,85.3250132,7020,Patna,25.6093239,85.1235252,3629361,15000,241.9574,7258722,3,2963449,8890346,30000
